"player_name","Pos","G"
"Jerami Grant","PF",80
"Jeremy Lamb","SG",79
"Jeremy Lin","PG",148
"Jerian Grant","PG",60
"Jerome Robinson","SG",33
"Jerryd Bayless","PG",34
"Jevon Carter","PG",39
"Jimmer Fredette","SG",6
"Jimmy Butler","SF-SG",65
"Joakim Noah","C",42
"Jodie Meeks","SG",8
"Joe Chealey","PG",1
"Joe Harris","SG",76
"Joe Ingles","PF",82
"Joel Embiid","C",64
"John Collins","PF",61
"John Henson","C",14
"John Holland","SF",1
"John Jenkins","SG",52
"John Wall","PG",32
"Johnathan Motley","PF",22
"Johnathan Williams","C",24
"Jon Leuer","PF",41
"Jonah Bolden","PF",44
"Jonas Jerebko","PF",73
"Jonas Valanciunas","C",98
"Jonathan Isaac","PF",75
"Jonathon Simmons","SG-SF",56
"Jordan Bell","C",68
"Jordan Clarkson","SG",81
"Jordan Loyd","PG",12
"Jordan McRae","SG",27
"Jordan Sibert","SG",1
"José Calderón","PG",49
"Josh Hart","SG",67
"Josh Jackson","SG",79
"Josh Okogie","SG",74
"Josh Richardson","SG",73
"Jrue Holiday","SG",67
"Juan Hernangómez","PF",70
"Julian Washburn","SF",18
"Julius Randle","PF",73
"Justin Anderson","SF",48
"Justin Holiday","SG",164
"Justin Jackson","SF",162
"Justin Patton","C",3
"Justise Winslow","SF",66
"Jusuf Nurkic","C",72
"Kadeem Allen","SG",19
"Kalin Lucas","PG",1
"Karl-Anthony Towns","C",77
"Kawhi Leonard","SF",60
"Keita Bates-Diop","SF",30
"Kelly Olynyk","PF",79
"Kelly Oubre","SF",138
"Kemba Walker","PG",82
"Kenneth Faried","C",74
"Kenrich Williams","SF",46
"Kent Bazemore","SG",67
"Kentavious Caldwell-Pope","SG",82
"Kevin Durant","SF",78
"Kevin Huerter","SG",75
"Kevin Knox","PF",75
"Kevin Love","PF",22
"Kevon Looney","C",80
"Khem Birch","C",50
"Khris Middleton","SF",77
"Khyri Thomas","SG",26
"Klay Thompson","SG",78
"Kobi Simmons","PG",1
"Kosta Koufos","C",42
"Kostas Antetokounmpo","PF",2
"Kris Dunn","PG",46
"Kyle Anderson","SF",43
"Kyle Korver","SG-PF",70
"Kyle Kuzma","PF",70
"Kyle Lowry","PG",65
"Kyle O'Quinn","C",45
"Kyrie Irving","PG",67
"LaMarcus Aldridge","C",81
"Lance Stephenson","SG",68
"Lance Thomas","PF",46
"Landry Shamet","SG",158
"Langston Galloway","SG",80
"Larry Nance","C",67
"Lauri Markkanen","PF",52
"LeBron James","SF",55
"Lonnie Walker","SG",17
"Lonzo Ball","PG",47
"Lorenzo Brown","PG",26
"Lou Williams","SG",75
"Luc Mbah a Moute","PF",4
"Luka Doncic","SG",72
"Luke Kennard","SG",63
"Luke Kornet","PF",46
"Luol Deng","SF",22
"Malachi Richardson","SG",22
"Malcolm Brogdon","SG",64
"Malcolm Miller","SF",10
"Malik Beasley","SG",81
"Malik Monk","SG",73
"Marc Gasol","C",158
"Marcin Gortat","C",47
"Marco Belinelli","SG",79
"Marcus Derrickson","PF",11
"Marcus Morris","PF",75
"Marcus Smart","SG",80
"Mario Hezonja","SF",58
"Markelle Fultz","SG",19
"Markieff Morris","PF",116
"Marquese Chriss","PF",86
"MarShon Brooks","SG",29
"Marvin Bagley","PF",62
"Marvin Williams","PF",75
"Mason Plumlee","C",82
"Matthew Dellavedova","PG",96
"Maurice Harkless","SF",60
"Maxi Kleber","PF",71
"Melvin Frazier","SG",10
"Meyers Leonard","C",61
"Michael Beasley","PF",26
"Michael Carter-Williams","PG",56
"Michael Kidd-Gilchrist","PF",64
"Mikal Bridges","SF",82
"Mike Conley","PG",70
"Mike Muscala","PF",128
"Mike Scott","PF",158
"Miles Bridges","SF",80
"Miles Plumlee","C",18
"Miloš Teodosic","PG",15
"Mitch Creek","SF",10
"Mitchell Robinson","C",66
"Mo Bamba","C",47
"Monte Morris","PG",82
"Montrezl Harrell","C",82
"Moritz Wagner","C",43
"Myles Turner","C",74
"Naz Mitrou-Long","SG",14
"Nemanja Bjelica","PF",77
"Nenê Hilário","C",42
"Nerlens Noel","C",77
"Nick Young","SG",4
"Nicolas Batum","SF",75
"Nik Stauskas","SG",136
"Nikola Jokic","C",80
"Nikola Mirotic","PF",92
"Nikola Vucevic","C",80
"Noah Vonleh","PF",68
"Norman Powell","SG",60
"OG Anunoby","SF",67
"Okaro White","PF",3
"Omari Spellman","PF",46
"Omri Casspi","SF",36
"Otto Porter","SF",112
"P.J. Tucker","PF",82
"Pascal Siakam","PF",80
"Pat Connaughton","SG",61
"Patrick Beverley","PG",78
"Patrick McCaw","SG",58
"Patrick Patterson","PF",63
"Patty Mills","PG",82
"Pau Gasol","C",60
"Paul George","SF",77
"Paul Millsap","PF",70
"PJ Dozier","SG",6
"Quincy Acy","PF",10
"Quincy Pondexter","SF",53
"Quinn Cook","PG",74
"R.J. Hunter","SG",1
"Rajon Rondo","PG",46
"Raul Neto","PG",37
"Rawle Alkins","SG",10
"Ray Spalding","PF",28
"Raymond Felton","PG",33
"Reggie Bullock","SG",126
"Reggie Jackson","PG",82
"Richaun Holmes","C",70
"Ricky Rubio","PG",68
"Robert Covington","SF",70
"Robert Williams","C",32
"Robin Lopez","C",74
"Rodions Kurucs","SF",63
"Rodney Hood","SG",144
"Rodney McGruder","SG",66
"Ron Baker","SG",30
"Rondae Hollis-Jefferson","SF",59
"Royce O'Neale","SF",82
"Rudy Gay","PF",69
"Rudy Gobert","C",81
"Russell Westbrook","PG",73
"Ryan Anderson","PF",50
"Ryan Arcidiacono","PG",81
"Ryan Broekhoff","SG",42
"Salah Mejri","C",36
"Sam Dekker","PF",94
"Scott Machado","PG",4
"Semi Ojeleye","PF",56
"Serge Ibaka","C",74
"Seth Curry","SG",74
"Shabazz Napier","PG",56
"Shai Gilgeous-Alexander","PG",82
"Shake Milton","SG",20
"Shaquille Harrison","PG",73
"Shaun Livingston","PG",64
"Shelvin Mack","PG",114
"Sindarius Thornwell","SG",64
"Skal Labissière","PF",44
"Solomon Hill","SF",44
"Spencer Dinwiddie","PG",68
"Stanley Johnson","SF",132
"Stephen Curry","PG",69
"Sterling Brown","SG",58
"Steven Adams","C",80
"Sviatoslav Mykhailiuk","SF",84
"T.J. Leaf","PF",58
"T.J. McConnell","PG",76
"T.J. Warren","SF",43
"Tahjere McCall","SG",1
"Taj Gibson","PF",70
"Taurean Waller-Prince","SF",55
"Terrance Ferguson","SG",74
"Terrence Jones","PF",2
"Terrence Ross","SG",81
"Terry Rozier","PG",79
"Thabo Sefolosha","SF",50
"Thaddeus Young","PF",81
"Theo Pinson","SG",18
"Thomas Bryant","C",72
"Thomas Welsh","C",11
"Thon Maker","C-PF",64
"Tim Frazier","PG",118
"Tim Hardaway","SG",130
"Timothé Luwawu-Cabarrot","SF",100
"Tobias Harris","PF",164
"Tomáš Satoranský","PG",80
"Tony Bradley","C",3
"Tony Parker","PG",56
"Tony Snell","SF",74
"Torrey Craig","SF",75
"Trae Young","PG",81
"Treveon Graham","SG",35
"Trevon Duval","PG",3
"Trevor Ariza","SF",138
"Trey Burke","PG",116
"Trey Lyles","PF",64
"Tristan Thompson","C",43
"Troy Brown","SF",52
"Troy Caupain","PG",4
"Troy Daniels","SG",51
"Troy Williams","SF",21
"Tyler Cavanaugh","PF",11
"Tyler Davis","C",1
"Tyler Dorsey","SG",96
"Tyler Johnson","PG",114
"Tyler Lydon","PF",25
"Tyler Ulis","PG",1
"Tyler Zeller","C",12
"Tyreke Evans","SG",69
"Tyrone Wallace","PG",62
"Tyson Chandler","C",110
"Tyus Jones","PG",68
"Udonis Haslem","C",10
"Victor Oladipo","SG",36
"Vince Carter","PF",76
"Vince Edwards","SF",2
"Wade Baldwin","PG",16
"Walt Lemon","PG",6
"Wayne Ellington","SG",106
"Wayne Selden","SG",150
"Wendell Carter","C",44
"Wesley Iwundu","SF",68
"Wesley Johnson","SF",76
"Wesley Matthews","SF-SG",69
"Will Barton","SG",43
"Willie Cauley-Stein","C",81
"Willy Hernangómez","C",58
"Wilson Chandler","PF-SF",51
"Yante Maten","PF",2
"Yogi Ferrell","PG",71
"Yuta Watanabe","SF",15
"Zach Collins","C",77
"Zach LaVine","SG",63
"Zach Lofton","SG",1
"Zaza Pachulia","C",68
"Zhaire Smith","SG",6
"Zhou Qi","PF",1
