"player_name","Pos","salary","exp_PTS_ppl"
"Bryn Forbes","SG",3125000,0.0131221958213636
"Kyle Lowry","PG",32700000,0.0130808009692061
"Darius Miller","SF",2205000,0.0130413942661975
"Josh Richardson","SG",9367200,0.0130322481092055
"Shai Gilgeous-Alexander","PG",3375360,0.0130198817910853
"Rudy Gobert","C",23491573,0.0130183712974577
"Darren Collison","PG",1e+07,0.0128882597297482
"Josh Okogie","SG",2163600,0.0127798585461482
"Josh Hart","SG",1655160,0.0127758759453842
"Ben Simmons","PG",6434520,0.0127532096348646
"Jonathan Isaac","PF",4969080,0.0127473095394443
"Aaron Gordon","PF",21590909,0.0127105425686293
"Kevin Huerter","SG",2250960,0.0126573950952646
"Danny Green","SG",1e+07,0.0123965401303189
"Kyle Korver","SG",7560000,0.0123258574780955
"Markieff Morris","PF",9173294,0.0122885171537319
"Thon Maker","C",2799720,0.0122449955296089
"Marvin Williams","PF",14087500,0.0122390727331037
"Enes Kanter","C",19264603,0.0122036913121744
"Thaddeus Young","PF",13764045,0.0121915957119483
"Cedi Osman","SF",2775000,0.0120877115481339
"Wayne Ellington","SG",8653076,0.0120848473261083
"Jeremy Lin","PG",12516746,0.0120697738950384
"JaMychal Green","PF",8066667,0.0119565485138044
"Robert Covington","SF",10464092,0.0118383737099421
"Jerami Grant","PF",8333333,0.0117957001715142
"Dennis Smith","PG",3819960,0.0117635478906002
"Jonathon Simmons","SG",6e+06,0.01175508039342
"Andre Iguodala","SF",1.6e+07,0.0117333695241399
"Stanley Johnson","SF",3940401,0.0116806215868864
"Jabari Parker","PF",2e+07,0.0116458079833432
"Royce O'Neale","SF",1378242,0.0116207170999906
"Steven Adams","C",24157304,0.0116189368730769
"Dorian Finney-Smith","SF",1544951,0.0115986695631499
"Joe Ingles","PF",12545455,0.0115083187391475
"Bruce Brown","SG",838464,0.011436152135163
"Marcus Smart","SG",11160716,0.0111687736362178
"Alec Burks","SG",11536515,0.0111290634516581
"Al-Farouq Aminu","PF",6957105,0.010982389466559
"Terrance Ferguson","SG",2118840,0.0109183607905756
"Ryan Arcidiacono","PG",1349383,0.0109079533852121
"Otto Porter","SF",26011913,0.01086160444881
"Shelvin Mack","PG",2512601,0.0108259742198066
"Kelly Oubre","SF",3208630,0.0107935832521494
"Tim Hardaway","SG",17325000,0.0107113064807188
"George Hill","PG",1.9e+07,0.0106317402081547
"Tyler Johnson","PG",19245370,0.0105082697557323
"Mike Muscala","PF",5e+06,0.0104717973147037
"Patrick Beverley","PG",5027028,0.0104095031464377
"Cory Joseph","PG",7945000,0.0103992259500929
"James Ennis","SF",1621415,0.0103390038203639
"Nicolas Batum","SF",2.4e+07,0.0103009098459165
"Wayne Selden","SG",1544951,0.0101646105832155
"Tim Frazier","PG",1832107,0.0101364508938214
"Jimmy Butler","SF",19841627,0.0100700868022386
"Mike Scott","PF",4320500,0.0100267269677509
"Mikal Bridges","SF",3557400,0.00982493346685993
"Draymond Green","PF",17469565,0.00969210560075664
"Justin Jackson","SF",2807880,0.00963699237211671
"Wilson Chandler","PF",12800562,0.00963088743394119
"Landry Shamet","SG",1705920,0.00961162888958335
"Delon Wright","PG",2536898,0.00956289446167068
"Rodney Hood","SG",3472887,0.00954840566580394
"Iman Shumpert","SG",11011234,0.00940786532333667
"Tyson Chandler","C",13585000,0.00936484298116538
"Reggie Bullock","SG",2500000,0.00911831983206165
"Tobias Harris","PF",14800000,0.00905792210579979
"Harrison Barnes","PF",24107258,0.0089013218827747
"Wesley Matthews","SF",19360228,0.00882148052757574
"Marc Gasol","C",24119025,0.00851852959966512
"Avery Bradley","SG",1.2e+07,0.00847120182918665
"DeAndre Jordan","C",22897200,0.00843546558698222
"Trevor Ariza","SF",1.5e+07,0.0080017170940425
"Austin Rivers","SG",13155324,0.00793658235762901
"Garrett Temple","SG",8e+06,0.00765419169104184
"Justin Holiday","SG",4500000,0.00733642548576721
